0,1,2,3,4,5,6,genres,moods
JAZZ IS EVERYWHERE,290000.0,147.0,33454835.0,115.0,227584.0,11781,"['Jazz (국외)', 'Jazz (국내)']",['모든 분위기']
MONKEY BGM,283000.0,350.0,96016562.0,339.0,274333.0,1108,"['Jazz (국외)', 'Jazz (국내)', 'New Age', '뮤직테라피']",['모든 분위기']
All was well,319000.0,215.0,59745782.0,187.0,277887.0,22329,"['New Age', 'Classic']",['모든 분위기']
눈에띠네,232000.0,229.0,122390882.0,528.0,534458.0,-,"['Ballad (국내)', 'Folk (국내)', 'Rock (국내)', 'Blues (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Dance (국내)']",['모든 분위기']
원플리 Oneplaylist,232000.0,221.0,52863872.0,228.0,239203.0,4580,"['Ballad (국내)', 'Blues (국내)', 'Dance (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)', 'Electronica (국내)', 'Jazz (국내)', 'Blues (국외)', 'Country (국외)', 'Electronica (국외)', 'Folk (국외)', 'Pop (국외)', 'EDM (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)', 'Electronica (J-Pop)', 'Pop (J-Pop)', 'R&B / Soul (J-Pop)', 'Rap / Hip-hop (J-Pop)', 'Rock (J-Pop)']",['모든 분위기']
히조heejo,245000.0,233.0,19906691.0,81.0,85436.0,6481,[],"['행복', '희망', '편안함', '차분함', '로맨틱']"
by the way,216000.0,137.0,35482314.0,164.0,258995.0,19665,"['New Age', 'Classic', '뮤직테라피']",['모든 분위기']
새던,213000.0,81.0,25057608.0,118.0,309353.0,-,"['New Age', 'Classic', '뮤직테라피']","['슬픔', '감성적']"
Ode Studio Seoul,203000.0,174.0,32309831.0,159.0,185689.0,11593,"['Ballad (국내)', 'Folk (국내)', 'Rock (국내)', 'Blues (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Dance (국내)']",['모든 분위기']
나만 듣기 아까운 노래,195000.0,1098.0,169241185.0,868.0,154136.0,503046,"['Rap / Hip-hop (국내)', 'R&B / Soul (국내)', 'Dance (국내)']",['모든 분위기']
밤공원,247000.0,333.0,192343644.0,779.0,577609.0,26813,"['Ballad (국내)', 'Dance (국내)', 'Rock (국내)', 'Electronica (국내)', 'OST (국내)']",['모든 분위기']
음악여우,190000.0,147.0,62579808.0,329.0,425713.0,22544,"['트로트', 'Ballad (국내)', 'Blues (국내)', 'Dance (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)']",['모든 분위기']
Wooden Chair 우든체어,178000.0,435.0,47918718.0,269.0,110158.0,-,"['Jazz (국외)', 'Jazz (국내)', 'New Age', '뮤직테라피']",['모든 분위기']
offweb,194000.0,173.0,27245014.0,140.0,157486.0,12185,"['Jazz (국외)', 'Blues (국외)', 'Country (국외)', 'Folk (국외)', 'Pop (국외)', 'R&B / Soul (국외)', 'Rock (국외)']",['모든 분위기']
맬러리 뮤직 Mallory Music,162000.0,154.0,27938856.0,172.0,181421.0,112644,"['Blues (국외)', 'Country (국외)', 'Electronica (국외)', 'Folk (국외)', 'Pop (국외)', 'R&B / Soul (국외)', 'Rock (국외)']",['모든 분위기']
Blue rain,208000.0,126.0,82487862.0,397.0,654666.0,7861,"['Blues (국외)', 'Country (국외)', 'Electronica (국외)', 'Folk (국외)', 'Pop (국외)', 'EDM (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)', 'Jazz (국외)']",['모든 분위기']
웅키,358000.0,1411.0,696132694.0,1945.0,493361.0,358662,"['Ballad (국내)', 'Dance (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Blues (국내)', 'OST (국내)']",['모든 분위기']
mycozypop,161000.0,332.0,53599116.0,333.0,161443.0,24158,"['Ballad (국내)', 'Blues (국내)', 'Dance (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)', 'Electronica (국내)', 'Blues (국외)', 'Country (국외)', 'Electronica (국외)', 'Folk (국외)', 'Pop (국외)', 'EDM (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)']",['모든 분위기']
sehooninseoul,170000.0,596.0,52275419.0,308.0,87710.0,2755,"['Ballad (국내)', 'Blues (국내)', 'Dance (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)', 'Electronica (국내)', 'Blues (국외)', 'Country (국외)', 'Electronica (국외)', 'Folk (국외)', 'Pop (국외)', 'EDM (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)']",['모든 분위기']
감성 저장소,170000.0,431.0,45895675.0,270.0,106486.0,1062,"['Ballad (국내)', 'Blues (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'OST (국내)']",['모든 분위기']
솧디 DJSOHEE,147000.0,126.0,49974649.0,340.0,396624.0,123228,"['Blues (국외)', 'Country (국외)', 'Electronica (국외)', 'Folk (국외)', 'Pop (국외)', 'EDM (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)', 'CCM (국외)', 'Jazz (국외)', 'OST (국외)']",['모든 분위기']
